"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.183673469387755","5.011037306429689E-4","0.23902439024390243","0.8076923076923077","13","9","false","DTL","21.153846153846153","0","13","0","0.8973008558262014","false","0","DTL","32","0.6410256410256411"
"4.13265306122449","3.944876919840101E-5","0.2419753086419753","0.9803921568627451","18","9","false","NEK2","22.0","0","18","0","0.8989466754443713","false","0","NEK2","6","0.6666666666666666"
"4.204081632653061","5.575426046707342E-4","0.23786407766990292","0.8545454545454545","11","9","false","CKS2","21.545454545454547","0","11","0","0.8966425279789335","false","0","CKS2","18","0.6528925619834711"
"4.112244897959184","0.00100384163607391","0.24317617866004962","0.8052631578947368","20","9","false","ZWINT","20.55","0","20","0","0.8996050032916393","false","0","ZWINT","76","0.6227272727272727"
"4.1020408163265305","0.0012086730974801665","0.24378109452736318","0.8095238095238095","21","9","false","PRC1","20.714285714285715","0","21","0","0.8999341672152733","false","0","PRC1","82","0.6277056277056277"
"4.1020408163265305","6.244237913709827E-4","0.24378109452736318","0.8523809523809524","21","9","false","NUSAP1","20.571428571428573","0","21","0","0.8999341672152733","false","0","NUSAP1","62","0.6233766233766234"
"3.336734693877551","0.4535139256446852","0.2996941896024465","0.5118279569892473","31","8","false","CDK1","16.774193548387096","0","31","0","0.9246214614878209","false","0","CDK1","14306","0.4650537634408602"
"4.122448979591836","1.9015716732947953E-4","0.2425742574257426","0.935672514619883","19","9","false","CEP55","21.473684210526315","0","19","0","0.8992758393680053","false","0","CEP55","22","0.6507177033492823"
"4.112244897959184","3.6026314429428257E-4","0.24317617866004962","0.8947368421052632","20","9","false","KIF4A","21.1","0","20","0","0.8996050032916393","false","0","KIF4A","40","0.6393939393939394"
"4.051020408163265","0.005665234139355748","0.24685138539042822","0.6153846153846154","26","9","false","CDC20","18.307692307692307","0","26","0","0.9015799868334431","false","0","CDC20","270","0.5547785547785548"
"4.1020408163265305","8.734781010186017E-4","0.24378109452736318","0.8285714285714286","21","9","false","KIF20A","20.857142857142858","0","21","0","0.8999341672152733","false","0","KIF20A","72","0.6320346320346321"
"4.051020408163265","0.025381150688851085","0.24685138539042822","0.6369230769230769","26","9","false","TOP2A","18.46153846153846","0","26","0","0.9015799868334431","false","0","TOP2A","1038","0.5757211538461539"
"7.479591836734694","0.0","0.13369713506139153","1.0","2","12","false","BST2","3.5","0","2","0","0.7909809084924292","false","0","BST2","0","0.875"
"7.459183673469388","2.1039343572480537E-4","0.13406292749658003","0.6666666666666666","3","12","false","IFI6","3.0","0","3","0","0.7916392363396971","false","0","IFI6","4","0.6"
"6.5","0.07931832526825162","0.15384615384615385","0.3333333333333333","4","11","false","ISG15","2.5","0","4","0","0.8225806451612904","false","0","ISG15","3100","0.45"
"4.275510204081633","0.0","0.233890214797136","1.0","6","9","false","CDC25B","23.833333333333332","0","6","0","0.8943383805134957","false","0","CDC25B","0","0.7688172043010753"
"4.224489795918367","0.00223419309259831","0.23671497584541065","0.6666666666666666","10","9","false","GINS1","18.5","0","10","0","0.8959842001316656","false","0","GINS1","390","0.578125"
"4.244897959183674","1.942951501125286E-4","0.23557692307692307","0.7857142857142857","8","9","false","CDC7","18.125","0","8","0","0.8953258722843976","false","0","CDC7","12","0.56640625"
"4.26530612244898","1.7516847413754627E-4","0.23444976076555024","0.6666666666666666","6","9","false","CDKN2A","18.333333333333332","0","6","0","0.8946675444371297","false","0","CDKN2A","10","0.5729166666666666"
"4.173469387755102","0.0030654141426285334","0.23960880195599024","0.6373626373626373","14","9","false","MCM6","17.357142857142858","0","14","0","0.8976300197498355","false","0","MCM6","436","0.525974025974026"
"4.163265306122449","0.00399180558553586","0.24019607843137253","0.5523809523809524","15","9","false","MCM5","16.066666666666666","0","15","0","0.8979591836734694","false","0","MCM5","466","0.4868686868686869"
"4.26530612244898","1.6480819131776421E-4","0.23444976076555024","0.8","6","9","false","GMNN","18.333333333333332","0","6","0","0.8946675444371297","false","0","GMNN","6","0.5729166666666666"
"4.1938775510204085","0.003388907770351069","0.2384428223844282","0.5512820512820513","13","9","false","MCM2","15.153846153846153","0","13","0","0.8969716919025675","false","0","MCM2","430","0.4735576923076923"
"4.163265306122449","0.003172753561981418","0.24019607843137253","0.6285714285714286","15","9","false","RFC4","17.733333333333334","0","15","0","0.8979591836734694","false","0","RFC4","446","0.5373737373737374"
"3.0","0.679991584262571","0.3333333333333333","0.1","5","7","false","GJA1","9.8","0","5","0","0.9354838709677419","false","0","GJA1","25768","0.21904761904761905"
"1.0","0.0","1.0","0.0","1","1","false","CLCA2","1.0","0","1","0","1.0","false","0","CLCA2","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","CLCA4","1.0","0","1","0","1.0","false","0","CLCA4","0","0.0"
"5.5","1.7532786310400447E-4","0.18181818181818182","0.0","2","11","false","CRCT1","6.0","0","2","0","0.8548387096774194","false","0","CRCT1","4","0.5555555555555556"
"5.438775510204081","0.011581407231522947","0.18386491557223267","0.0","4","11","false","CRNN","4.75","0","4","0","0.8568136932192232","false","0","CRNN","492","0.3409090909090909"
"4.561224489795919","0.02256469598148531","0.2192393736017897","0.6071428571428571","8","10","false","SPRR1A","9.75","0","8","0","0.8851217906517446","false","0","SPRR1A","794","0.41847826086956524"
"6.408163265306122","2.279262220352058E-4","0.15605095541401276","0.0","2","12","false","KRT4","3.0","0","2","0","0.825543120473996","false","0","KRT4","6","0.6666666666666666"
"4.520408163265306","0.062424233316301495","0.22121896162528218","0.45454545454545453","11","10","false","SPRR3","8.272727272727273","0","11","0","0.8864384463462804","false","0","SPRR3","2432","0.35177865612648224"
"5.336734693877551","0.0026644825824291424","0.18738049713193117","0.3333333333333333","4","11","false","TGM3","9.0","0","4","0","0.8601053324555629","false","0","TGM3","92","0.4605263157894737"
"1.0","0.0","1.0","0.0","1","1","false","CRYAB","1.0","0","1","0","1.0","false","0","CRYAB","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","HSPB8","1.0","0","1","0","1.0","false","0","HSPB8","0","0.0"
"5.438775510204081","0.0","0.18386491557223267","1.0","2","11","false","CST6","9.5","0","2","0","0.8568136932192232","false","0","CST6","0","0.59375"
"4.479591836734694","0.05502589843006421","0.22323462414578588","0.3523809523809524","15","10","false","LOR","7.2","0","15","0","0.8877551020408163","false","0","LOR","3750","0.288"
"5.3061224489795915","3.506557262080089E-5","0.18846153846153849","0.9333333333333333","6","11","false","CSTA","11.166666666666666","0","6","0","0.8610928242264647","false","0","CSTA","2","0.5317460317460317"
"4.561224489795919","0.005445933896386233","0.2192393736017897","0.6428571428571429","8","10","false","TGM1","9.875","0","8","0","0.8851217906517446","false","0","TGM1","728","0.4114583333333333"
"4.591836734693878","0.002126977447827437","0.21777777777777776","0.8","6","10","false","PI3","11.0","0","6","0","0.8841342988808426","false","0","PI3","356","0.4782608695652174"
"4.469387755102041","0.06345591255648057","0.22374429223744294","0.4090909090909091","12","10","false","SPRR1B","7.916666666666667","0","12","0","0.8880842659644503","false","0","SPRR1B","3434","0.29012345679012347"
"4.438775510204081","0.0894627954274492","0.2252873563218391","0.3619047619047619","15","10","false","IVL","7.466666666666667","0","15","0","0.8890717577353522","false","0","IVL","6616","0.26666666666666666"
"4.795918367346939","0.0","0.20851063829787234","1.0","3","9","false","CXCL1","6.666666666666667","0","3","0","0.8775510204081632","false","0","CXCL1","0","0.6060606060606061"
